رقم الفاتورة,تاريخ ووقت البيع,اسم المنتج,الكمية,سعر القطعة,تكلفة المنتج,المحافظة
ORD-1415,2026-08-03 16:02:00,جاكيت جلد رجالي,1,1500,600,الإسكندرية
ORD-1018,2026-08-06 22:02:00,جاكيت جلد رجالي,3,1500,600,القاهرة
ORD-1385,2026-08-12 19:15:00,تيشرت قطن أبيض,3,350,150,القاهرة
ORD-1358,2026-08-02 16:15:00,تيشرت قطن أبيض,1,350,150,طنطا
ORD-1001,2026-08-10 23:46:00,تيشرت قطن أبيض,3,350,150,طنطا
ORD-1127,2026-08-23 17:27:00,بنطلون جينز أسود,1,600,250,المنصورة
ORD-1495,2026-08-22 17:40:00,فستان صيفي مشجر,1,800,350,الجيزة
ORD-1391,2026-08-23 15:18:00,هودي شتوي رمادي,2,700,300,المنيا
ORD-1280,2026-08-24 12:11:00,تيشرت قطن أبيض,1,350,150,المنصورة
ORD-1228,2026-08-15 20:04:00,حذاء رياضي مريح,1,950,400,المنيا
ORD-1072,2026-08-22 16:03:00,تيشرت قطن أبيض,3,350,150,المنصورة
ORD-1484,2026-08-29 21:31:00,تيشرت قطن أبيض,1,350,150,طنطا
ORD-1446,2026-08-08 15:13:00,حذاء رياضي مريح,2,950,400,الجيزة
ORD-1399,2026-08-30 15:48:00,قميص كاجوال كحلي,3,450,200,القاهرة
ORD-1092,2026-08-01 15:07:00,جاكيت جلد رجالي,1,1500,600,طنطا
ORD-1131,2026-08-15 22:56:00,تيشرت قطن أبيض,2,350,150,القاهرة
ORD-1267,2026-08-16 17:50:00,هودي شتوي رمادي,1,700,300,الجيزة
ORD-1372,2026-08-03 09:05:00,فستان صيفي مشجر,2,800,350,المنصورة
ORD-1052,2026-08-19 17:52:00,قميص كاجوال كحلي,3,450,200,طنطا
ORD-1251,2026-08-09 12:13:00,سويت شيرت زيتي,1,500,220,الجيزة
ORD-1467,2026-08-03 13:19:00,قميص كاجوال كحلي,1,450,200,المنصورة
ORD-1326,2026-08-20 17:34:00,قميص كاجوال كحلي,3,450,200,الجيزة
ORD-1120,2026-08-22 21:13:00,سويت شيرت زيتي,1,500,220,المنصورة
ORD-1317,2026-08-27 10:50:00,جاكيت جلد رجالي,1,1500,600,المنصورة
ORD-1494,2026-08-07 13:12:00,تيشرت قطن أبيض,3,350,150,القاهرة
ORD-1403,2026-08-26 10:03:00,بنطلون جينز أسود,3,600,250,طنطا
ORD-1314,2026-08-30 09:32:00,حذاء رياضي مريح,3,950,400,الإسكندرية
ORD-1376,2026-08-03 12:38:00,جاكيت جلد رجالي,1,1500,600,الإسكندرية
ORD-1027,2026-08-03 12:59:00,هودي شتوي رمادي,3,700,300,طنطا
ORD-1417,2026-08-22 21:51:00,هودي شتوي رمادي,1,700,300,المنصورة
ORD-1360,2026-08-11 15:53:00,حذاء رياضي مريح,1,950,400,القاهرة
ORD-1365,2026-08-30 20:16:00,سويت شيرت زيتي,3,500,220,طنطا
ORD-1284,2026-08-26 19:30:00,جاكيت جلد رجالي,3,1500,600,الإسكندرية
ORD-1238,2026-08-10 11:17:00,هودي شتوي رمادي,3,700,300,الجيزة
ORD-1256,2026-08-01 20:03:00,جاكيت جلد رجالي,3,1500,600,طنطا
ORD-1254,2026-08-10 11:21:00,تيشرت قطن أبيض,2,350,150,القاهرة
ORD-1142,2026-08-14 14:44:00,جاكيت جلد رجالي,3,1500,600,طنطا
ORD-1366,2026-08-16 18:25:00,جاكيت جلد رجالي,3,1500,600,القاهرة
ORD-1196,2026-08-26 18:33:00,هودي شتوي رمادي,1,700,300,القاهرة
ORD-1403,2026-08-15 11:48:00,حذاء رياضي مريح,2,950,400,الإسكندرية
ORD-1436,2026-08-03 09:28:00,قميص كاجوال كحلي,3,450,200,الجيزة
ORD-1088,2026-08-17 12:15:00,فستان صيفي مشجر,1,800,350,الإسكندرية
ORD-1442,2026-08-17 10:34:00,هودي شتوي رمادي,2,700,300,الجيزة
ORD-1253,2026-08-12 15:36:00,هودي شتوي رمادي,2,700,300,القاهرة
ORD-1109,2026-08-08 17:01:00,سويت شيرت زيتي,1,500,220,الجيزة
ORD-1056,2026-08-12 19:44:00,قميص كاجوال كحلي,1,450,200,الإسكندرية
ORD-1277,2026-08-28 15:06:00,فستان صيفي مشجر,2,800,350,القاهرة
ORD-1035,2026-08-15 16:49:00,حذاء رياضي مريح,1,950,400,القاهرة
ORD-1327,2026-08-19 16:44:00,قميص كاجوال كحلي,2,450,200,الجيزة
ORD-1110,2026-08-14 17:22:00,جاكيت جلد رجالي,2,1500,600,الجيزة
ORD-1130,2026-08-19 17:41:00,قميص كاجوال كحلي,2,450,200,الإسكندرية
ORD-1122,2026-08-09 16:17:00,سويت شيرت زيتي,2,500,220,الجيزة
ORD-1332,2026-08-29 23:56:00,بنطلون جينز أسود,1,600,250,المنصورة
ORD-1175,2026-08-26 20:14:00,تيشرت قطن أبيض,2,350,150,القاهرة
ORD-1259,2026-08-11 20:30:00,فستان صيفي مشجر,1,800,350,طنطا
ORD-1370,2026-08-24 19:25:00,جاكيت جلد رجالي,1,1500,600,المنصورة
ORD-1374,2026-08-01 11:08:00,سويت شيرت زيتي,1,500,220,المنصورة
ORD-1470,2026-08-03 21:32:00,فستان صيفي مشجر,1,800,350,المنصورة
ORD-1114,2026-08-08 09:41:00,قميص كاجوال كحلي,3,450,200,القاهرة
ORD-1231,2026-08-31 15:15:00,هودي شتوي رمادي,3,700,300,الجيزة
ORD-1444,2026-08-15 18:11:00,حذاء رياضي مريح,2,950,400,طنطا
ORD-1292,2026-08-10 09:45:00,جاكيت جلد رجالي,1,1500,600,الجيزة
ORD-1345,2026-08-20 10:29:00,قميص كاجوال كحلي,1,450,200,القاهرة
ORD-1119,2026-08-19 10:43:00,تيشرت قطن أبيض,3,350,150,الإسكندرية
ORD-1156,2026-08-19 14:33:00,تيشرت قطن أبيض,3,350,150,القاهرة
ORD-1176,2026-08-19 10:29:00,فستان صيفي مشجر,3,800,350,المنصورة
ORD-1223,2026-08-24 16:32:00,فستان صيفي مشجر,2,800,350,القاهرة
ORD-1129,2026-08-18 16:37:00,تيشرت قطن أبيض,2,350,150,الجيزة
ORD-1176,2026-08-11 23:46:00,قميص كاجوال كحلي,1,450,200,الإسكندرية
ORD-1465,2026-08-14 15:29:00,قميص كاجوال كحلي,1,450,200,الإسكندرية
ORD-1129,2026-08-07 23:43:00,سويت شيرت زيتي,2,500,220,القاهرة
ORD-1353,2026-08-12 21:31:00,بنطلون جينز أسود,3,600,250,الجيزة
ORD-1413,2026-08-12 09:15:00,جاكيت جلد رجالي,1,1500,600,الجيزة
ORD-1032,2026-08-06 22:58:00,بنطلون جينز أسود,3,600,250,المنصورة
ORD-1206,2026-08-02 17:07:00,جاكيت جلد رجالي,3,1500,600,المنيا
ORD-1308,2026-08-22 14:09:00,هودي شتوي رمادي,2,700,300,الإسكندرية
ORD-1121,2026-08-13 18:58:00,فستان صيفي مشجر,3,800,350,المنيا
ORD-1143,2026-08-16 16:11:00,بنطلون جينز أسود,1,600,250,القاهرة
ORD-1288,2026-08-28 17:54:00,هودي شتوي رمادي,2,700,300,الجيزة
ORD-1093,2026-08-15 10:10:00,بنطلون جينز أسود,3,600,250,المنيا
ORD-1444,2026-08-09 09:49:00,جاكيت جلد رجالي,1,1500,600,المنيا
ORD-1321,2026-08-28 13:42:00,فستان صيفي مشجر,2,800,350,الإسكندرية
ORD-1274,2026-08-07 12:22:00,قميص كاجوال كحلي,3,450,200,الجيزة
ORD-1313,2026-08-31 21:39:00,قميص كاجوال كحلي,1,450,200,الجيزة
ORD-1459,2026-08-22 14:48:00,هودي شتوي رمادي,1,700,300,الإسكندرية
ORD-1462,2026-08-12 18:23:00,قميص كاجوال كحلي,3,450,200,طنطا
ORD-1326,2026-08-09 18:38:00,سويت شيرت زيتي,2,500,220,الجيزة
ORD-1469,2026-08-04 11:53:00,بنطلون جينز أسود,1,600,250,الإسكندرية
ORD-1189,2026-08-14 11:02:00,حذاء رياضي مريح,2,950,400,المنيا
ORD-1252,2026-08-28 14:09:00,حذاء رياضي مريح,3,950,400,طنطا
ORD-1369,2026-08-04 22:50:00,سويت شيرت زيتي,3,500,220,الإسكندرية
ORD-1003,2026-08-21 15:51:00,هودي شتوي رمادي,3,700,300,المنصورة
ORD-1212,2026-08-05 12:38:00,سويت شيرت زيتي,1,500,220,الإسكندرية
ORD-1101,2026-08-24 18:26:00,سويت شيرت زيتي,3,500,220,الجيزة
ORD-1203,2026-08-09 16:38:00,هودي شتوي رمادي,2,700,300,الجيزة
ORD-1434,2026-08-03 11:30:00,حذاء رياضي مريح,1,950,400,الإسكندرية
ORD-1235,2026-08-03 16:12:00,بنطلون جينز أسود,3,600,250,المنصورة
ORD-1437,2026-08-01 13:21:00,جاكيت جلد رجالي,3,1500,600,طنطا
ORD-1326,2026-08-29 12:26:00,سويت شيرت زيتي,1,500,220,المنصورة
ORD-1383,2026-08-20 19:28:00,جاكيت جلد رجالي,2,1500,600,طنطا
ORD-1213,2026-08-09 22:54:00,سويت شيرت زيتي,2,500,220,طنطا
ORD-1032,2026-08-11 20:03:00,تيشرت قطن أبيض,1,350,150,طنطا
ORD-1325,2026-08-25 23:08:00,فستان صيفي مشجر,3,800,350,الجيزة
ORD-1451,2026-08-24 18:11:00,قميص كاجوال كحلي,1,450,200,الجيزة
ORD-1413,2026-08-20 09:26:00,فستان صيفي مشجر,2,800,350,طنطا
ORD-1412,2026-08-11 14:17:00,هودي شتوي رمادي,2,700,300,القاهرة
ORD-1181,2026-08-07 17:18:00,هودي شتوي رمادي,2,700,300,طنطا
ORD-1156,2026-08-25 14:09:00,قميص كاجوال كحلي,3,450,200,الجيزة
ORD-1387,2026-08-30 22:09:00,تيشرت قطن أبيض,1,350,150,الإسكندرية
ORD-1212,2026-08-29 22:26:00,بنطلون جينز أسود,3,600,250,الإسكندرية
ORD-1129,2026-08-07 12:10:00,حذاء رياضي مريح,1,950,400,الجيزة
ORD-1114,2026-08-25 18:01:00,فستان صيفي مشجر,1,800,350,المنيا
ORD-1276,2026-08-15 19:49:00,هودي شتوي رمادي,3,700,300,المنيا
ORD-1372,2026-08-24 14:33:00,فستان صيفي مشجر,3,800,350,طنطا
ORD-1003,2026-08-13 09:25:00,جاكيت جلد رجالي,3,1500,600,المنيا
ORD-1418,2026-08-02 20:27:00,قميص كاجوال كحلي,1,450,200,طنطا
ORD-1101,2026-08-12 09:03:00,تيشرت قطن أبيض,2,350,150,المنيا
ORD-1296,2026-08-31 19:00:00,هودي شتوي رمادي,3,700,300,الجيزة
ORD-1308,2026-08-02 16:49:00,جاكيت جلد رجالي,1,1500,600,طنطا
ORD-1138,2026-08-02 18:23:00,قميص كاجوال كحلي,2,450,200,المنصورة
ORD-1065,2026-08-15 20:06:00,تيشرت قطن أبيض,3,350,150,المنيا
ORD-1243,2026-08-10 23:33:00,بنطلون جينز أسود,3,600,250,طنطا
ORD-1455,2026-08-05 18:00:00,هودي شتوي رمادي,3,700,300,الإسكندرية
ORD-1244,2026-08-16 13:26:00,بنطلون جينز أسود,1,600,250,المنصورة
ORD-1377,2026-08-05 14:58:00,فستان صيفي مشجر,1,800,350,طنطا
ORD-1394,2026-08-04 11:04:00,جاكيت جلد رجالي,3,1500,600,الإسكندرية
ORD-1190,2026-08-11 20:54:00,حذاء رياضي مريح,1,950,400,الإسكندرية
ORD-1479,2026-08-03 23:50:00,حذاء رياضي مريح,2,950,400,القاهرة
ORD-1189,2026-08-13 15:41:00,قميص كاجوال كحلي,2,450,200,طنطا
ORD-1208,2026-08-21 17:23:00,قميص كاجوال كحلي,3,450,200,طنطا
ORD-1234,2026-08-31 13:44:00,هودي شتوي رمادي,3,700,300,الإسكندرية
ORD-1261,2026-08-26 22:16:00,حذاء رياضي مريح,1,950,400,القاهرة
ORD-1120,2026-08-28 11:23:00,سويت شيرت زيتي,3,500,220,المنيا
ORD-1045,2026-08-23 16:31:00,هودي شتوي رمادي,2,700,300,المنيا
ORD-1021,2026-08-10 18:07:00,هودي شتوي رمادي,1,700,300,طنطا
ORD-1185,2026-08-31 10:08:00,حذاء رياضي مريح,2,950,400,طنطا
ORD-1004,2026-08-17 15:19:00,بنطلون جينز أسود,2,600,250,الجيزة
ORD-1447,2026-08-05 14:37:00,جاكيت جلد رجالي,3,1500,600,القاهرة
ORD-1075,2026-08-31 09:42:00,جاكيت جلد رجالي,3,1500,600,الإسكندرية
ORD-1002,2026-08-19 16:06:00,هودي شتوي رمادي,1,700,300,الجيزة
ORD-1102,2026-08-09 23:46:00,سويت شيرت زيتي,3,500,220,المنيا
ORD-1472,2026-08-16 13:27:00,تيشرت قطن أبيض,1,350,150,طنطا
ORD-1198,2026-08-27 20:33:00,قميص كاجوال كحلي,3,450,200,الجيزة
ORD-1386,2026-08-29 13:41:00,سويت شيرت زيتي,1,500,220,الجيزة
ORD-1140,2026-08-05 23:13:00,فستان صيفي مشجر,2,800,350,القاهرة
ORD-1386,2026-08-22 16:39:00,حذاء رياضي مريح,3,950,400,طنطا
ORD-1395,2026-08-09 11:07:00,بنطلون جينز أسود,3,600,250,الجيزة
ORD-1047,2026-08-30 11:35:00,تيشرت قطن أبيض,1,350,150,المنيا
ORD-1387,2026-08-28 22:34:00,هودي شتوي رمادي,2,700,300,المنيا
ORD-1046,2026-08-10 15:38:00,فستان صيفي مشجر,2,800,350,القاهرة
ORD-1134,2026-08-30 22:16:00,فستان صيفي مشجر,3,800,350,طنطا
ORD-1275,2026-08-27 21:02:00,حذاء رياضي مريح,2,950,400,المنيا
ORD-1261,2026-08-03 13:55:00,تيشرت قطن أبيض,1,350,150,المنيا
ORD-1349,2026-08-24 19:24:00,حذاء رياضي مريح,3,950,400,المنصورة
ORD-1171,2026-08-25 16:34:00,جاكيت جلد رجالي,3,1500,600,طنطا
ORD-1427,2026-08-18 13:46:00,فستان صيفي مشجر,1,800,350,المنصورة
ORD-1308,2026-08-19 18:34:00,سويت شيرت زيتي,3,500,220,طنطا
ORD-1293,2026-08-24 12:15:00,حذاء رياضي مريح,1,950,400,القاهرة
ORD-1462,2026-08-30 13:33:00,سويت شيرت زيتي,2,500,220,المنصورة
ORD-1022,2026-08-27 13:36:00,بنطلون جينز أسود,3,600,250,طنطا
ORD-1139,2026-08-20 17:03:00,سويت شيرت زيتي,3,500,220,المنيا
ORD-1488,2026-08-12 15:26:00,قميص كاجوال كحلي,2,450,200,الإسكندرية
ORD-1042,2026-08-12 09:54:00,حذاء رياضي مريح,2,950,400,المنصورة
ORD-1259,2026-08-16 11:05:00,جاكيت جلد رجالي,1,1500,600,القاهرة
ORD-1355,2026-08-14 14:48:00,سويت شيرت زيتي,3,500,220,طنطا
ORD-1309,2026-08-13 10:22:00,هودي شتوي رمادي,1,700,300,القاهرة
ORD-1337,2026-08-23 14:01:00,قميص كاجوال كحلي,3,450,200,المنصورة
ORD-1191,2026-08-23 14:55:00,تيشرت قطن أبيض,2,350,150,الجيزة
ORD-1214,2026-08-18 23:55:00,تيشرت قطن أبيض,3,350,150,المنيا
ORD-1245,2026-08-25 09:44:00,سويت شيرت زيتي,3,500,220,طنطا
ORD-1201,2026-08-26 15:13:00,فستان صيفي مشجر,2,800,350,المنيا
ORD-1325,2026-08-03 11:14:00,سويت شيرت زيتي,2,500,220,المنيا
ORD-1113,2026-08-29 12:55:00,هودي شتوي رمادي,3,700,300,القاهرة
ORD-1173,2026-08-23 23:11:00,بنطلون جينز أسود,1,600,250,الإسكندرية
ORD-1001,2026-08-23 16:31:00,جاكيت جلد رجالي,1,1500,600,الإسكندرية
ORD-1362,2026-08-28 09:16:00,حذاء رياضي مريح,3,950,400,المنيا
ORD-1443,2026-08-12 11:15:00,بنطلون جينز أسود,1,600,250,طنطا
ORD-1278,2026-08-16 12:04:00,فستان صيفي مشجر,2,800,350,الجيزة
ORD-1419,2026-08-13 21:58:00,سويت شيرت زيتي,1,500,220,الإسكندرية
ORD-1142,2026-08-12 14:31:00,قميص كاجوال كحلي,2,450,200,المنيا
ORD-1409,2026-08-24 10:10:00,هودي شتوي رمادي,2,700,300,المنيا
ORD-1222,2026-08-26 11:19:00,فستان صيفي مشجر,3,800,350,المنيا
ORD-1021,2026-08-17 16:10:00,قميص كاجوال كحلي,1,450,200,المنيا
ORD-1132,2026-08-24 13:06:00,حذاء رياضي مريح,1,950,400,المنيا
ORD-1009,2026-08-01 16:52:00,فستان صيفي مشجر,1,800,350,المنصورة
ORD-1490,2026-08-01 13:40:00,فستان صيفي مشجر,2,800,350,طنطا
ORD-1145,2026-08-04 09:19:00,بنطلون جينز أسود,1,600,250,المنيا
ORD-1443,2026-08-26 12:52:00,تيشرت قطن أبيض,1,350,150,الإسكندرية
ORD-1343,2026-08-28 13:42:00,تيشرت قطن أبيض,3,350,150,طنطا
ORD-1152,2026-08-24 20:37:00,بنطلون جينز أسود,3,600,250,الإسكندرية
ORD-1242,2026-08-07 21:19:00,قميص كاجوال كحلي,2,450,200,طنطا
ORD-1146,2026-08-29 17:58:00,جاكيت جلد رجالي,3,1500,600,الجيزة
ORD-1167,2026-08-31 16:39:00,قميص كاجوال كحلي,1,450,200,طنطا
ORD-1488,2026-08-26 20:19:00,فستان صيفي مشجر,3,800,350,الإسكندرية
ORD-1294,2026-08-27 17:29:00,جاكيت جلد رجالي,1,1500,600,الجيزة
ORD-1411,2026-08-05 21:31:00,جاكيت جلد رجالي,2,1500,600,الجيزة
ORD-1308,2026-08-18 09:56:00,جاكيت جلد رجالي,1,1500,600,المنصورة
ORD-1275,2026-08-08 21:32:00,قميص كاجوال كحلي,2,450,200,المنصورة
ORD-1206,2026-08-08 09:48:00,تيشرت قطن أبيض,2,350,150,الإسكندرية
ORD-1448,2026-08-03 17:34:00,جاكيت جلد رجالي,3,1500,600,المنصورة
ORD-1107,2026-08-26 14:03:00,سويت شيرت زيتي,1,500,220,الإسكندرية
ORD-1305,2026-08-12 18:17:00,هودي شتوي رمادي,2,700,300,طنطا
ORD-1246,2026-08-11 13:08:00,حذاء رياضي مريح,2,950,400,الجيزة
ORD-1179,2026-08-24 20:33:00,قميص كاجوال كحلي,1,450,200,طنطا
ORD-1084,2026-08-08 18:01:00,حذاء رياضي مريح,2,950,400,المنصورة
ORD-1077,2026-08-17 14:02:00,جاكيت جلد رجالي,1,1500,600,المنيا
ORD-1438,2026-08-20 21:51:00,تيشرت قطن أبيض,2,350,150,المنصورة
ORD-1048,2026-08-12 10:09:00,بنطلون جينز أسود,1,600,250,الجيزة
ORD-1031,2026-08-15 18:42:00,سويت شيرت زيتي,2,500,220,المنيا
ORD-1195,2026-08-29 22:14:00,بنطلون جينز أسود,3,600,250,المنصورة
ORD-1440,2026-08-20 09:23:00,جاكيت جلد رجالي,2,1500,600,الجيزة
ORD-1305,2026-08-12 11:01:00,قميص كاجوال كحلي,2,450,200,المنصورة
ORD-1424,2026-08-05 23:14:00,فستان صيفي مشجر,2,800,350,المنيا
ORD-1313,2026-08-19 20:03:00,بنطلون جينز أسود,3,600,250,الجيزة
ORD-1040,2026-08-13 20:38:00,حذاء رياضي مريح,2,950,400,المنصورة
ORD-1086,2026-08-10 23:48:00,فستان صيفي مشجر,3,800,350,المنصورة
ORD-1246,2026-08-07 22:00:00,هودي شتوي رمادي,3,700,300,المنيا
ORD-1104,2026-08-19 11:17:00,فستان صيفي مشجر,2,800,350,الإسكندرية
ORD-1165,2026-08-25 17:04:00,جاكيت جلد رجالي,1,1500,600,طنطا
ORD-1084,2026-08-29 13:22:00,هودي شتوي رمادي,1,700,300,الجيزة
ORD-1430,2026-08-26 13:27:00,حذاء رياضي مريح,2,950,400,المنيا
ORD-1380,2026-08-25 23:32:00,قميص كاجوال كحلي,3,450,200,المنيا
ORD-1245,2026-08-07 17:30:00,قميص كاجوال كحلي,3,450,200,القاهرة
ORD-1456,2026-08-10 23:47:00,تيشرت قطن أبيض,2,350,150,طنطا
ORD-1109,2026-08-19 15:54:00,سويت شيرت زيتي,1,500,220,المنيا
ORD-1453,2026-08-11 10:09:00,بنطلون جينز أسود,2,600,250,طنطا
ORD-1210,2026-08-06 10:27:00,سويت شيرت زيتي,2,500,220,المنيا
ORD-1395,2026-08-27 13:04:00,حذاء رياضي مريح,1,950,400,الجيزة
ORD-1489,2026-08-16 11:54:00,هودي شتوي رمادي,1,700,300,الجيزة
ORD-1056,2026-08-22 10:02:00,بنطلون جينز أسود,2,600,250,الإسكندرية
ORD-1383,2026-08-29 23:08:00,بنطلون جينز أسود,1,600,250,المنصورة
ORD-1249,2026-08-10 20:28:00,فستان صيفي مشجر,2,800,350,طنطا
ORD-1181,2026-08-01 14:46:00,قميص كاجوال كحلي,3,450,200,طنطا
ORD-1270,2026-08-04 17:38:00,قميص كاجوال كحلي,1,450,200,القاهرة
ORD-1238,2026-08-08 11:32:00,حذاء رياضي مريح,3,950,400,القاهرة
ORD-1309,2026-08-27 20:59:00,تيشرت قطن أبيض,2,350,150,القاهرة
ORD-1087,2026-08-15 23:04:00,قميص كاجوال كحلي,2,450,200,الجيزة
ORD-1497,2026-08-31 09:32:00,تيشرت قطن أبيض,1,350,150,القاهرة
ORD-1343,2026-08-08 09:32:00,هودي شتوي رمادي,2,700,300,الإسكندرية
ORD-1429,2026-08-17 14:13:00,جاكيت جلد رجالي,2,1500,600,المنيا
ORD-1231,2026-08-25 11:15:00,حذاء رياضي مريح,3,950,400,المنصورة
ORD-1249,2026-08-14 15:03:00,تيشرت قطن أبيض,2,350,150,المنيا
ORD-1214,2026-08-13 13:04:00,حذاء رياضي مريح,3,950,400,الإسكندرية
ORD-1422,2026-08-25 23:30:00,سويت شيرت زيتي,3,500,220,الإسكندرية
ORD-1026,2026-08-30 16:32:00,حذاء رياضي مريح,3,950,400,الإسكندرية
ORD-1087,2026-08-29 17:25:00,سويت شيرت زيتي,3,500,220,القاهرة
ORD-1318,2026-08-04 17:15:00,فستان صيفي مشجر,3,800,350,المنصورة
ORD-1110,2026-08-16 11:37:00,بنطلون جينز أسود,1,600,250,الإسكندرية
ORD-1356,2026-08-25 09:13:00,تيشرت قطن أبيض,2,350,150,المنيا
ORD-1078,2026-08-09 12:46:00,تيشرت قطن أبيض,2,350,150,المنصورة
ORD-1277,2026-08-27 17:34:00,جاكيت جلد رجالي,3,1500,600,المنيا
ORD-1150,2026-08-13 19:26:00,تيشرت قطن أبيض,2,350,150,الإسكندرية
ORD-1254,2026-08-19 12:44:00,سويت شيرت زيتي,3,500,220,القاهرة
ORD-1030,2026-08-23 17:35:00,فستان صيفي مشجر,3,800,350,المنيا
ORD-1203,2026-08-26 17:32:00,هودي شتوي رمادي,1,700,300,الجيزة
ORD-1498,2026-08-08 11:24:00,قميص كاجوال كحلي,3,450,200,المنصورة
ORD-1276,2026-08-24 16:07:00,بنطلون جينز أسود,1,600,250,طنطا
ORD-1184,2026-08-21 18:23:00,تيشرت قطن أبيض,2,350,150,طنطا
ORD-1480,2026-08-12 14:38:00,تيشرت قطن أبيض,2,350,150,المنيا
ORD-1347,2026-08-03 16:15:00,قميص كاجوال كحلي,3,450,200,الإسكندرية
ORD-1365,2026-08-23 14:09:00,حذاء رياضي مريح,3,950,400,الجيزة
ORD-1030,2026-08-24 11:57:00,فستان صيفي مشجر,3,800,350,المنيا
ORD-1110,2026-08-09 19:16:00,سويت شيرت زيتي,1,500,220,القاهرة
ORD-1240,2026-08-09 20:06:00,جاكيت جلد رجالي,3,1500,600,القاهرة
ORD-1399,2026-08-02 21:36:00,سويت شيرت زيتي,3,500,220,القاهرة
ORD-1350,2026-08-21 10:15:00,هودي شتوي رمادي,1,700,300,الجيزة
ORD-1069,2026-08-09 14:30:00,فستان صيفي مشجر,3,800,350,المنصورة
ORD-1255,2026-08-04 11:15:00,بنطلون جينز أسود,3,600,250,المنيا
ORD-1366,2026-08-09 17:28:00,فستان صيفي مشجر,1,800,350,القاهرة
ORD-1439,2026-08-14 21:00:00,سويت شيرت زيتي,2,500,220,المنصورة
ORD-1156,2026-08-26 12:47:00,سويت شيرت زيتي,3,500,220,طنطا
ORD-1284,2026-08-31 19:13:00,هودي شتوي رمادي,1,700,300,المنصورة
ORD-1296,2026-08-05 19:05:00,سويت شيرت زيتي,3,500,220,طنطا
ORD-1399,2026-08-21 14:13:00,هودي شتوي رمادي,2,700,300,المنيا
ORD-1014,2026-08-29 14:59:00,فستان صيفي مشجر,2,800,350,المنيا
ORD-1317,2026-08-18 18:25:00,هودي شتوي رمادي,1,700,300,المنيا
ORD-1013,2026-08-10 09:53:00,قميص كاجوال كحلي,3,450,200,الإسكندرية
ORD-1311,2026-08-05 13:16:00,حذاء رياضي مريح,1,950,400,طنطا
ORD-1045,2026-08-27 17:49:00,قميص كاجوال كحلي,3,450,200,الإسكندرية
ORD-1322,2026-08-10 17:26:00,تيشرت قطن أبيض,3,350,150,القاهرة
ORD-1281,2026-08-18 23:48:00,جاكيت جلد رجالي,3,1500,600,المنيا
ORD-1253,2026-08-05 22:53:00,حذاء رياضي مريح,1,950,400,المنصورة
ORD-1494,2026-08-12 13:33:00,بنطلون جينز أسود,2,600,250,المنيا
